customer_state,total_orders,total_revenue,avg_order_value,pct_revenue
SP,40501,5067633.16,109.1,38.33
RJ,12350,1759651.13,124.42,13.31
MG,11354,1552481.83,120.2,11.74
RS,5345,728897.47,118.83,5.51
PR,4923,666063.51,117.91,5.04
SC,3546,507012.13,123.75,3.83
BA,3256,493584.14,134.02,3.73
DF,2080,296498.41,125.9,2.24
GO,1957,282836.7,124.21,2.14
ES,1995,268643.45,120.74,2.03
PE,1593,251889.49,144.27,1.91
CE,1279,219757.38,154.11,1.66
PA,946,174470.59,165.53,1.32
MT,886,152191.62,146.76,1.15
MA,717,117009.38,146.26,0.88
MS,701,115429.97,142.33,0.87
PB,517,112586.82,192.13,0.85
PI,476,84721.0,161.99,0.64
RN,474,82105.66,157.59,0.62
AL,397,78855.72,184.67,0.6
SE,335,56574.19,150.86,0.43
TO,274,48402.51,156.14,0.37
RO,243,45682.76,167.34,0.35
AM,145,22155.84,135.93,0.17
AC,80,15930.97,175.07,0.12
AP,67,13374.81,165.12,0.1
RR,41,7057.47,153.42,0.05